power_mpm_0,power_mpm_1,power_cpm
4.481258533251553e-05,0.0,4.858912e-05
4.481258533251553e-05,0.001,4.859328e-05
4.481258533251553e-05,0.001,4.859328e-05
4.481258533251553e-05,0.001,4.859328e-05
4.481258533251553e-05,0.001,4.859328e-05
4.481258533251553e-05,0.001,4.859948e-05
4.481258533251553e-05,0.001,4.859948e-05
4.481258533251553e-05,0.001,4.859948e-05
4.481258533251553e-05,0.001,4.859948e-05
4.481258533251553e-05,0.001,4.86033e-05
4.4843551463896606e-05,0.001,4.86495e-05
4.4843551463896606e-05,0.001,4.864984e-05
4.4833227043273304e-05,0.001,4.864984e-05
4.4833227043273304e-05,0.0,4.864984e-05
4.4833227043273304e-05,0.001,4.864984e-05
4.4822904999662035e-05,0.001,4.865018e-05
4.4822904999662035e-05,0.001,4.865018e-05
4.4822904999662035e-05,0.001,4.865018e-05
4.481258533251553e-05,0.0,4.865018e-05
4.481258533251553e-05,0.001,4.865018e-05
4.4843551463896606e-05,0.001,4.866143e-05
4.4843551463896606e-05,0.001,4.866334e-05
4.4833227043273304e-05,0.001,4.866334e-05
4.4833227043273304e-05,0.001,4.866334e-05
4.4822904999662035e-05,0.001,4.866334e-05
4.4822904999662035e-05,0.001,4.866784e-05
4.481258533251553e-05,0.001,4.866784e-05
4.481258533251553e-05,0.001,4.866784e-05
4.481258533251553e-05,0.001,4.866784e-05
4.481258533251553e-05,0.001,4.866974e-05
4.49779854893288e-05,0.001,4.889465e-05
4.498834324565386e-05,0.001,4.889827e-05
4.498834324565386e-05,0.001,4.889827e-05
4.499870338721506e-05,0.0,4.889827e-05
4.500906591456167e-05,0.0,4.889827e-05
4.500906591456167e-05,0.001,4.889827e-05
4.501943082824311e-05,0.001,4.889827e-05
4.501943082824311e-05,0.001,4.889827e-05
4.5029798128808905e-05,0.001,4.889827e-05
4.504016781680873e-05,0.001,4.889827e-05
4.519600000304826e-05,0.001,4.905761e-05
4.519600000304826e-05,0.001,4.905761e-05
4.519600000304826e-05,0.001,4.905761e-05
4.520640796485015e-05,0.0,4.905761e-05
4.520640796485015e-05,0.001,4.906505e-05
4.521681832344975e-05,0.001,4.906505e-05
4.521681832344975e-05,0.001,4.906505e-05
4.5227231079398996e-05,0.001,4.906505e-05
4.5227231079398996e-05,0.001,4.907457e-05
4.523764623324996e-05,0.001,4.907457e-05
4.5603691595129625e-05,0.0,4.951503e-05
4.5624697707685025e-05,0.001,4.952178e-05
4.564571349614055e-05,0.001,4.952178e-05
4.566673896495313e-05,0.001,4.952178e-05
4.568777411858178e-05,0.001,4.952178e-05
4.5708818961487496e-05,0.001,4.952542e-05
4.574040440300427e-05,0.001,4.952542e-05
4.575093773298474e-05,0.001,4.952542e-05
4.577201167050866e-05,0.001,4.952542e-05
4.578255227916937e-05,0.001,4.952767e-05
4.601506077890588e-05,0.0,4.954462e-05
4.601506077890588e-05,0.0,4.955327e-05
4.6025657358135604e-05,0.0,4.955327e-05
4.6025657358135604e-05,0.0,4.955327e-05
4.6036256377598795e-05,0.001,4.955327e-05
4.6036256377598795e-05,0.001,4.954047e-05
4.604685783785741e-05,0.001,4.954047e-05
4.60574617394735e-05,0.001,4.954047e-05
4.550928370849552e-05,0.001,4.954047e-05
4.5415071263255474e-05,0.001,4.954635e-05
4.608928809808953e-05,0.001,4.966676e-05
4.608928809808953e-05,0.001,4.967006e-05
4.608928809808953e-05,0.001,4.967006e-05
4.608928809808953e-05,0.001,4.967006e-05
4.608928809808953e-05,0.001,4.967006e-05
4.608928809808953e-05,0.001,4.967455e-05
4.608928809808953e-05,0.001,4.967455e-05
4.608928809808953e-05,0.001,4.967455e-05
4.608928809808953e-05,0.001,4.967455e-05
4.608928809808953e-05,0.001,4.967991e-05
4.630202658603084e-05,0.001,4.987038e-05
4.6312689249187435e-05,0.0,4.987038e-05
4.632335436779563e-05,0.001,4.987038e-05
4.633402194242092e-05,0.001,4.987038e-05
4.6344691973628796e-05,0.001,4.987178e-05
4.6366039408055544e-05,0.001,4.987178e-05
4.6366039408055544e-05,0.001,4.987178e-05
4.637671681240619e-05,0.001,4.987178e-05
4.638739667560309e-05,0.001,4.987298e-05
4.638739667560309e-05,0.001,4.987298e-05
4.637671681240619e-05,0.001,4.962628e-05
4.6366039408055544e-05,0.001,4.962143e-05
4.635536446198506e-05,0.001,4.962143e-05
4.635536446198506e-05,0.001,4.962143e-05
4.6344691973628796e-05,0.001,4.962143e-05
4.633402194242092e-05,0.001,4.962109e-05
4.632335436779563e-05,0.001,4.962109e-05
4.6312689249187435e-05,0.001,4.962109e-05
4.630202658603084e-05,0.001,4.962109e-05
4.628070862381132e-05,0.001,4.962074e-05
